client,sales_document,sales_document_item,delivery_schedule_line_num,schedule_line_category,item_relevant_delivery,schedule_line_date,arrival_time,order_quantity_in_sales_units,confirmed_quantity,sales_unit,req_quan_mgmt_stockk_units,base_uom,requirement_date,requirement_type,planning_type,business_document_number,business_item_number,schedule_line,earliest_possible_reservation_date,maintenance_request,purchase_requisition_num,order_type,purchasing_document_category,confirmation_status_of_schedule_line,invoice_receipt_indicator,return_date_for_returnable_packaging,date_type,transportation_planning_date,material_staging,loading_date,goods_issue_date,corrected_quantity_in_sales_unit,schedule_line_blocked_for_delivery,group_definition_of_structure_data,release_type,forecast_delivery_schedule_num,committed_quantity,size_2,size_3,unit_of_measure,formula_key,numerator_for_conversion_sales_sku,denominator_for_conversion_sales_sku,availability_confirmed_automatically,movement_type,item_num_purchase_requisition,schedule_line_type_edi,order_number,planned_order_number,bom_explosion_number,customer_engineering_change_status,guaranteed,material_staging_time,transp_planning_time,loading_time,time_of_goods_issue,route_schedule,handover_date,handover_time,matr_availability_date,is_quarantined
100,0003985904,140,1,CT,X,2007-10-05 05:00:00.000000,2024-05-01 05:00:00.000000,1.000,1.000,CS,1.000,CS,1900-01-01 06:00:00.000000, , , ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2007-10-02 05:00:00.000000,2007-10-04 05:00:00.000000,2007-10-04 05:00:00.000000,2007-10-04 05:00:00.000000,1.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X, ,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208574,30,1,CP,X,2022-06-09 05:00:00.000000,2024-05-01 21:00:00.000000,6.000,6.000,CS,6.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-05-29 05:00:00.000000,2022-06-01 05:00:00.000000,2022-06-01 05:00:00.000000,2022-06-01 05:00:00.000000,6.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 20:59:58.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0004062147,340,1,CP,X,2007-11-30 06:00:00.000000,2024-05-01 05:00:00.000000,8.000,0.000,CS,0.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2007-11-30 06:00:00.000000,2007-11-30 06:00:00.000000,2007-11-30 06:00:00.000000,2007-11-30 06:00:00.000000,8.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208587,220,1,CP,X,2022-05-27 05:00:00.000000,2024-05-01 21:00:00.000000,1.000,1.000,EA,1.000,EA,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-05-25 05:00:00.000000,2022-05-27 05:00:00.000000,2022-05-27 05:00:00.000000,2022-05-27 05:00:00.000000,1.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0004085675,180,1,CP,X,2007-12-26 06:00:00.000000,2024-05-01 05:00:00.000000,44.000,44.000,CS,44.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2007-12-21 06:00:00.000000,2007-12-26 06:00:00.000000,2007-12-26 06:00:00.000000,2007-12-26 06:00:00.000000,44.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208591,20,1,CP,X,2022-06-08 05:00:00.000000,2024-05-01 21:00:00.000000,54.000,54.000,CS,54.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-06-05 05:00:00.000000,2022-06-07 05:00:00.000000,2022-06-07 05:00:00.000000,2022-06-07 05:00:00.000000,54.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 20:59:59.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0004086870,90,1,CP,X,2007-12-28 06:00:00.000000,2024-05-01 05:00:00.000000,28.000,28.000,CS,28.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2007-12-21 06:00:00.000000,2007-12-26 06:00:00.000000,2007-12-26 06:00:00.000000,2007-12-26 06:00:00.000000,28.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208598,40,1,CP,X,2022-05-31 05:00:00.000000,2024-05-01 21:00:00.000000,72.000,72.000,CS,72.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-05-28 05:00:00.000000,2022-05-31 05:00:00.000000,2022-05-31 05:00:00.000000,2022-05-31 05:00:00.000000,72.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 20:59:58.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0004086870,180,1,CP,X,2007-12-28 06:00:00.000000,2024-05-01 05:00:00.000000,45.000,45.000,CS,45.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2007-12-21 06:00:00.000000,2007-12-26 06:00:00.000000,2007-12-26 06:00:00.000000,2007-12-26 06:00:00.000000,45.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208619,180,1,CP,X,2022-05-30 05:00:00.000000,2024-05-01 21:00:00.000000,150.000,150.000,CS,150.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-05-27 05:00:00.000000,2022-05-29 05:00:00.000000,2022-05-29 05:00:00.000000,2022-05-29 05:00:00.000000,150.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-02 04:59:59.000000,2024-05-02 04:59:59.000000,2024-05-02 04:59:59.000000,2024-05-02 04:59:59.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
