shipment_gid,shipment_xid,shipment_name,transport_mode_gid,is_template,is_primary,is_spot_costed,is_credit_note,cm_prev_dest_location_gid,cm_next_source_location_gid,t_actual_cost_currency_gid,t_weighted_cost_currency_gid,total_trans_cost_currency_gid,loaded_distance_uom_code,unloaded_distance_uom_code,source_location_gid,dest_location_gid,start_time,end_time,freight_terms,parent_leg_gid,voyage_gid,servprov_gid,rate_offering_gid,rate_geo_gid,original_shipment_gid,shipment_group_gid,is_auto_merge_consolidate,perspective,flight_instance_id,total_weight_uom_code,total_volume_uom_code,total_ship_unit_count,total_packaging_unit_count,total_item_package_count,intermediary_corporation_gid,shipment_type_gid,route_code_combination_gid,rail_inter_modal_plan_gid,customer_rate_code,cofc_tofc,rail_return_location_gid,rail_return_route_gid,rule_11_indicator,current_stop_num,shipment_as_work,secondary_charge_rule_gid,check_time_constraint,check_cost_constraint,check_capacity_constraint,cm_name,cm_sequence_num,cm_cost,cm_cost_currency_gid,cm_cost_base,cm_empty_distance,cm_empty_distance_uom_code,cm_empty_distance_base,hazmat_mode_gid,hazmat_region_gid,weigh_code,rule_7,shipment_released,processing_code_gid,air_rail_route_code,payment_method_code_gid,inco_term_gid,dim_weight,dim_weight_uom_code,dim_weight_base,planned_cost_currency_gid,term_location_text,tariff_organization_number,tariff_organization_name,tariff_name,tariff_number,tariff_date,is_hazardous,is_temperature_control,is_cost_fixed,is_service_time_fixed,is_rate_geo_fixed,is_rate_offering_fixed,is_servprov_fixed,is_preload,is_fixed_tender_contact,is_to_be_held,is_preferred_carrier,is_equipment_fixed,is_recalc_totals,has_appointments,indicator,contact_gid,bulk_plan_gid,total_num_reference_units,itinerary_gid,feasibility_code_gid,num_order_releases,num_stops,total_net_weight_uom_code,total_net_volume_uom_code,earliest_start_time,latest_start_time,last_event_group_gid,repetition_schedule_gid,in_trailer_build,first_equipment_group_gid,bulk_cm_gid,vessel_gid,user_defined1_icon_gid,user_defined2_icon_gid,user_defined3_icon_gid,user_defined4_icon_gid,user_defined5_icon_gid,source_location_override_gid,dest_location_override_gid,equipment_reference_unit_gid,schedule_type,job_gid,port_of_load_location_gid,port_of_load_override_loc_gid,port_of_dis_location_gid,port_of_dis_override_loc_gid,insurance_policy_number,insurance_amount,insurance_amount_currency_gid,insurance_amount_base,insurance_premium,insurance_premium_currency_gid,insurance_premium_base,bol_type,bol_issuance_type,consol_gid,place_receipt_location_gid,place_deliver_location_gid,sail_date,rail_date,sail_cutoff_date,port_discharge_eta,port_of_exit_date,port_exit_loc_gid,container_delivery_loc_gid,container_pickup_loc_gid,nfrc_rule_gid,is_cpcty_override_applicable,planned_rate_offering_gid,planned_transport_mode_gid,planned_servprov_gid,planned_rate_geo_gid,is_permanent,is_memo_bl,duty_paid,exchange_rate_date,currency_gid,exchange_rate_gid,tot_matched_inv_cost_curr_gid,original_invoice_cost_curr_gid,total_approved_cost_curr_gid,source_pier_location_gid,dest_pier_location_gid,primary_order_base_gid,total_declared_value_gid,is_profit_split,shipping_agent_contact_gid,is_advanced_charge,load_config_engine_type_gid,appointment_priority_gid,is_fixed_distance,delivering_servprov_gid,originating_servprov_gid,chargeable_weight_uom_code,cm_cost_fn,cm_cost_fn_currency_gid,total_actual_c_fn,total_actual_c_fn_currency_gid,total_trans_c_fn,total_trans_c_fn_currency_gid,total_wt_cost_fn,total_wt_cost_fn_currency_gid,planned_cost_fn,planned_cost_fn_currency_gid,insurance_amt_fn,insurance_amt_fn_currency_gid,insurance_prem_fn,insurance_prem_fn_currency_gid,tot_match_inv_fn,tot_match_inv_fn_currency_gid,original_inv_c_fn,original_inv_c_fn_currency_gid,total_app_cost_fn,total_app_cost_fn_currency_gid,fixed_service_days,sighting_location_gid,sighting_date,prev_sighting_location_gid,prev_sighting_date,driver_gid,secondary_driver_gid,power_unit_gid,marked_for_purge,driver_assign_bulk_plan_gid,equipment_assign_bulk_plan_gid,prev_drop_inventory_processed,pick_inventory_processed,drop_inventory_processed,dim_volume,dim_volume_uom_code,dim_volume_base,chargeable_volume_uom_code,domain_name,insert_user,insert_date,update_user,update_date,planning_parameter_set_gid,num_equipment_ordered,em_phone_number,parcel_zone,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,attribute_currency1,attribute_currency1_gid,attribute_currency1_base,attribute_currency2,attribute_currency2_gid,attribute_currency2_base,attribute_currency3,attribute_currency3_gid,attribute_currency3_base,combination_equip_grp_gid,si_cutoff_date,cfs_cutoff_date,src_arb_level_of_service_gid,dest_arb_level_of_service_gid,cfs_location_gid,is_fixed_voyage,job_name,load_date,ahead_late_time,ahead_late_time_base,ahead_late_time_uom_code,ahead_or_late,attribute_date11,attribute_date12,attribute_date13,attribute_date14,attribute_date15,attribute_date16,attribute_date17,attribute_date18,attribute_date19,attribute_date20,attribute_number11,attribute_number12,attribute_number13,attribute_number14,attribute_number15,attribute_number16,attribute_number17,attribute_number18,attribute_number19,attribute_number20,equipment_destination,eta_date,external_voyage_code,first_equipment_initial,first_equipment_number,is_ar_route_code_fixed,prev_equipment_destination,prev_reported_bs_status_code,prev_reporting_scac,projected_tour_name,reported_bs_status_code,reporting_scac,reservation_num,sole_packaged_item_gid,waybill_date,work_assignment_bulk_plan_gid,total_actual_cost,total_actual_cost_base,total_weighted_cost,total_weighted_cost_base,total_trans_cost,total_trans_cost_base,loaded_distance,loaded_distance_base,unloaded_distance,unloaded_distance_base,total_weight,total_weight_base,total_volume,total_volume_base,planned_cost,planned_cost_base,total_net_weight,total_net_weight_base,total_net_volume,total_net_volume_base,weight_utilization,volume_utilization,equip_ref_unit_utilization,tot_matched_invoice_cost,tot_matched_invoice_cost_base,original_invoice_cost,original_invoice_cost_base,total_approved_cost,total_approved_cost_base,total_declared_value,total_declared_value_base,chargeable_weight,chargeable_weight_base,chargeable_volume,chargeable_volume_base,projected_tour_sequence_num,max_num_retender
RC3.703032039N,703032039N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.2100,RC3.3880,2024-05-31 3:59:00,2024-06-01 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.DART,RC3.DART_TL_RATEOFFERING,RC3.DART_2100-3880_53_DRY,,,N,B,,LB,CUFT,17,0,1632,,TRANSPORT,,,,,,,,,N,,Y,Y,N,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.DART,,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-05-30 4:01:00,2024-05-31 3:59:00,ACCEPTED,,N,RC3.53_DRY,,,ACCEPTED,,,UTILIZATION_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.DART_TL_RATEOFFERING,TL,RC3.DART,RC3.DART_2100-3880_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZCA0077,2024-05-28 15:07:24,RC3.ADMIN,2024-05-28 16:06:38,RC3.CAG-IB-SW,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240601 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000006414404315,,,627.2,627.2,627.2,627.2,,,560,560,0.00E+00,0.00E+00,43081.808,43081.808,1013.88,1013.88,627.2,627.2,41891.808,41891.808,962.88,962.88,0.93656,0.26681,0.00E+00,,,,,,,0.00E+00,0.00E+00,43081.808,43081.808,1013.88,1013.88,,
RC3.703032314N,703032314N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.0001054067,RC3.62130001,2024-06-17 3:01:00,2024-06-17 4:01:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,59,0,6490,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPD,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-28 20:58:30,2024-06-18 2:59:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 15:58:32,RC3.ADMIN,2024-05-28 15:58:37,RC3.CAG_CPU,,,,,,RC3.INBOUND_PO,,1,,,,,20240617 23:59,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,0.01,0.01,10000.01,10000.01,,,901,901,0.00E+00,0.00E+00,44339.119,44339.119,2922.288,2922.288,0.01,0.01,40209.105,40209.105,2745.279,2745.279,0.00044,0.00003,0.00E+00,,,,,,,0.00E+00,0.00E+00,44339.119,44339.119,2922.288,2922.288,,
RC3.703031611N,703031611N,,LTL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.5681,RC3.0020031932,2024-05-30 4:01:00,2024-06-07 4:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.FFEL,RC3.FFEL_LTL_RATEOFFERING,RC3.FFEL_5681-FL_LTL,,,N,B,,LB,CUFT,10,0,532,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,FCA,,,,USD,NAMED PLACE OF SHIPMENT,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.FFEL,RC3.20240528-0024,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-05-30 4:01:00,2024-05-31 3:59:00,ACCEPTED,,N,RC3.NO_EQUIPMENTS,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.FFEL_LTL_RATEOFFERING,LTL,RC3.FFEL,RC3.FFEL_5681-FL_LTL,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZMP0185,2024-05-28 12:50:48,DBA.ADMIN,2024-05-28 13:31:38,RC3.CAG_OB,,,,,,RC3.OUTBOUND_SO,,1,,,,,20240607 23:59,CAG,,,,,,,,,,7.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,1568.75,1568.75,1568.75,1568.75,,,565,565,0.00E+00,0.00E+00,11772.775,11772.775,335.821,335.821,1568.75,1568.75,11452.96,11452.96,314.5,314.5,0.78485,0.16791,0.00E+00,,,,,,,0.00E+00,0.00E+00,11772.775,11772.775,335.821,335.821,,
RC3.703032917N,703032917N,,INTRMDL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.3880,RC3.3875,2024-06-02 5:01:00,2024-06-07 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.HUBG,RC3.HUBG_IM_RATEOFFERING,RC3.HUBG_3880-3875_53_CON,,,N,B,,LB,CUFT,23,0,2484,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.HUBG,RC3.12_00 PM STO BULK PLAN-20240528170023,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-02 5:01:00,2024-06-03 3:59:00,ACCEPTED,,N,RC3.53_CON,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.HUBG_IM_RATEOFFERING,INTRMDL,RC3.HUBG,RC3.HUBG_3880-3875_53_CON,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.UAFIREOTMRC3ADM,2024-05-28 17:03:38,RC3.ADMIN,2024-05-28 17:48:54,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240607 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000002700038143,,,1921,1921,1921,1921,,,924,924,0.00E+00,0.00E+00,42864.272,42864.272,1221.576,1221.576,1921,1921,41254.272,41254.272,1152.576,1152.576,0.93183,0.29085,0.00E+00,,,,,,,0.00E+00,0.00E+00,42864.272,42864.272,1221.576,1221.576,,
RC3.703032106N,703032106N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.2100,RC3.3880,2024-05-31 3:59:00,2024-06-01 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.FWSH,RC3.FWSH_TL_RATEOFFERING,RC3.FWSH_2100-3880_53_DRY,,,N,B,,LB,CUFT,18,0,1728,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,RC3.FWSH,,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-05-30 4:01:00,2024-05-31 3:59:00,DECLINED,,N,RC3.53_DRY,,,TENDERED,,,UTILIZATION_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.DART_TL_RATEOFFERING,TL,RC3.DART,RC3.DART_2100-3880_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZCA0077,2024-05-28 15:13:33,RC3.ADMIN,2024-05-28 17:52:33,RC3.CAG-IB-SW,,,,,,RC3.OUTBOUND_STO,TENDER,1,,,,,20240601 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000006414404322,,,632.8,632.8,632.8,632.8,,,560,560,0.00E+00,0.00E+00,44060.832,44060.832,1073.52,1073.52,627.2,627.2,42800.832,42800.832,1019.52,1019.52,0.95784,0.28251,0.00E+00,,,,,,,0.00E+00,0.00E+00,44060.832,44060.832,1073.52,1073.52,,
RC3.703032320N,703032320N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.0003028467,RC3.4254,2024-07-24 11:00:00,2024-07-24 12:00:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,1,0,50000,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPD,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-28 20:01:10,2024-07-25 0:00:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 16:01:13,RC3.ADMIN,2024-05-28 16:01:38,RC3.CAG_CPU,,,,,,RC3.INBOUND_PO,,1,,,,,20240724 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000000010126312,,,0.01,0.01,10000.01,10000.01,,,474,474,0.00E+00,0.00E+00,22.5,22.5,1.5,1.5,0.01,0.01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,22.5,22.5,1.5,1.5,,
RC3.703031392N,703031392N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.3877,RC3.0020003916_BOISEWAREHOUSE_83642_USA,2024-06-06 4:57:44,2024-06-07 6:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.SNRS,RC3.SNRS_TL_RATEOFFERING,RC3.SNRS_3877-ID836_53_DRY,,,N,B,,LB,CUFT,11,0,482,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPD,FOB,,,,USD,DESTINATION,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,R,RC3.406,RC3.20240528-0006,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-05 7:01:00,2024-06-06 6:59:00,,,N,RC3.53_DRY,,,BOOKED,,,UTILIZATION_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.SNRS_TL_RATEOFFERING,TL,RC3.SNRS,RC3.SNRS_3877-ID836_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZJS1237,2024-05-28 12:06:12,RC3.ADMIN,2024-05-28 12:06:29,RC3.CAG_OB,,,,,,RC3.OUTBOUND_SO,,1,,,,,20240607 23:59,CAG,,,,,,,,,,6.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,1520,1520,1520,1520,,,608,608,0.00E+00,0.00E+00,12477.6,12477.6,320.564,320.564,1520,1520,12190.004,12190.004,301.39,301.39,0.27125,0.08436,0.00E+00,,,,,,,0.00E+00,0.00E+00,12477.6,12477.6,320.564,320.564,,
RC3.703032205N,703032205N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.5710,RC3.0020013604,2024-05-30 4:01:00,2024-05-30 5:01:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,2,0,340,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,COL,,,,,USD,,,,,,,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,G,RC3.CPU,RC3.CPU PLAN FOR ORDER WITH SHIP WITH-20240528153020,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-30 4:01:00,2024-05-31 3:59:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.UAFIREOTMRC3ADM,2024-05-28 15:31:01,RC3.INTEGRATION,2024-05-28 17:50:21,RC3.CAG_CPU_SHIPWITH,,,,,,RC3.CPU,,1,,,,,,CAG,,,,,,,,,,0.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,0.01,0.01,10000.01,10000.01,,,228,228,0.00E+00,0.00E+00,376.614,376.614,21.692,21.692,0.01,0.01,345.184,345.184,20.345,20.345,0.00E+00,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,376.614,376.614,21.692,21.692,,
RC3.570708201C,570708201C,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.3926,RC3.0020027053,2024-05-27 20:00:00,2024-05-28 9:00:00,,,,RC3.ESHL,RC3.ESHL_TL_RATEOFFERING,RC3.ESHL_3926-PA17901_53_DRY,,,N,B,,LB,CUFT,47,0,3272,,TRANSPORT,,,,,,,,,N,,Y,Y,N,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,G,,,,,FEASIBLE,3,2,LB,CUFT,,,MISC,,N,,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.ESHL_TL_RATEOFFERING,TL,RC3.ESHL,RC3.ESHL_3926-PA17901_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.SA_SI,2024-05-28 17:15:32,RC3.ADMIN,2024-05-28 17:16:07,,,,,,,RC3.OUTBOUND_SO,,1,,,,PGI COMPLETE,20240528 05:00,CAG,,,,,,,RESEND_ACCRUAL,,,45.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,515.48,515.48,515.48,515.48,,,77,77,0.00E+00,0.00E+00,45010.52,45010.52,2226.327,2226.327,0.00E+00,0.00E+00,41862.9,41862.9,2091.429,2091.429,0.00E+00,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,45010.52,45010.52,2226.327,2226.327,,
RC3.703031959N,703031959N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.0001027605,RC3.3880,2024-06-15 4:01:00,2024-06-15 5:01:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,29,0,4593,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPD,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-28 18:37:35,2024-06-16 3:59:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 14:37:38,RC3.ADMIN,2024-05-28 14:37:43,RC3.CAG_CPU,,,,,,RC3.INBOUND_PO,,1,,,,,20240615 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,0.01,0.01,10000.01,10000.01,,,480,480,0.00E+00,0.00E+00,42718.917,42718.917,988.839,988.839,0.01,0.01,40758.497,40758.497,904.821,904.821,0.00043,0.00001,0.00E+00,,,,,,,0.00E+00,0.00E+00,42718.917,42718.917,988.839,988.839,,
RC3.703032375N,703032375N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.5679,RC3.0020040568,2024-06-03 4:01:00,2024-06-03 5:01:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,44,0,4767,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,COL,,,,,USD,,,,,,,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,G,RC3.CPU,RC3.CPU_ORDERS_ALL_NO_SWG_5DAYS-20240528160021,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-06-03 4:01:00,2024-06-04 3:59:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.UAFIREOTMRC3ADM,2024-05-28 16:01:57,RC3.ADMIN,2024-05-28 16:02:22,RC3.CAG_CPU,,,,,,RC3.CPU,,1,,,,,,CAG,,,,,,,,,,43.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,0.01,0.01,10000.01,10000.01,,,22,22,0.00E+00,0.00E+00,40444.971,40444.971,2603.426,2603.426,0.01,0.01,37431.401,37431.401,2474.273,2474.273,0.0004,0.00003,0.00E+00,,,,,,,0.00E+00,0.00E+00,40444.971,40444.971,2603.426,2603.426,,
