client,material_num,plant,batch_num,special_stock_ind,vendor_account_num,current_period_fiscal_year,current_period,lblab,lbins,lbein,lbuml,is_quarantined
100,000000000001000278,3451,0000329889,O,0001008128,2011,7,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000338470,O,0001008128,2011,9,335218.388,0.000,0.000,0.000,false
100,000000000001000278,3451,0000349402,O,0001008128,2011,9,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000349402,O,0001008128,2011,10,380162.226,0.000,0.000,0.000,false
100,000000000001000278,3451,0000368970,O,0001008128,2011,11,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000380017,O,0001008128,2011,12,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000380017,O,0001008128,2012,1,98285.097,0.000,0.000,0.000,false
100,000000000001000278,3451,0000400799,O,0001008128,2012,3,248047.321,0.000,0.000,0.000,false
100,000000000001000278,3451,0000416576,O,0001008128,2012,3,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000440747,O,0001008128,2012,6,483480.533,0.000,0.000,0.000,false
100,000000000001000278,3451,0000451896,O,0001008128,2012,6,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000461317,O,0001008128,2012,7,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000531534,O,0001008128,2013,2,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000546484,O,0001008128,2013,3,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000568037,O,0001008128,2013,5,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000568037,O,0001008128,2013,6,177298.478,0.000,0.000,0.000,false
100,000000000001000278,3451,0000600800,O,0001008128,2013,9,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000600800,O,0001008128,2013,11,80.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000604331,O,0001008128,2013,11,44989.880,0.000,0.000,0.000,false
100,000000000001000278,3451,0000609209,O,0001008128,2013,11,314549.787,0.000,0.000,0.000,false
100,000000000001000278,3451,0000617948,O,0001008128,2013,12,195534.515,0.000,0.000,0.000,false
100,000000000001000278,3451,0000666441,O,0001008128,2014,5,40741.120,0.000,0.000,0.000,false
100,000000000001000278,3451,0000722469,O,0001008128,2014,9,182759.542,0.000,0.000,0.000,false
100,000000000001000278,3451,0000765189,O,0001008128,2015,1,151799.101,0.000,0.000,0.000,false
100,000000000001000278,3451,0000789725,O,0001008128,2015,2,0.000,0.000,0.000,0.000,false
100,000000000001000278,3451,0000801791,O,0001008128,2015,4,211948.608,0.000,0.000,0.000,false
