client,material_number,valuation_area,valuation_type,current_period_fiscal_year,current_period,total_valued_stock,value_of_total_valuated_stock,price_control_indicator,moving_average_price,standard_price,price_unit,valuation_class,moving_average_price_value,total_valued_stock_sales_price,is_quarantined
100,000000000000010662,7158, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010662,7163, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010662,7178, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010662,7185, ,2011,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010663,7013, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010663,7157, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010663,7158, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010663,7172, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000012180,3880, ,2024,5,0.000,0.00,S,0.00,100.00,1,7900,0.00,0.00,true
100,000000000000100060,5150, ,2017,3,0.000,0.00,V,0.00,1.00,1,8565,0.00,0.00,true
