client,material_number,plant,current_period_fiscal_year,current_period,stock_in_transfer,stock_in_transit,stock_transfer_sales_value,transit_value_at_sales_price,tied_empties_stock,tied_empties_stock_sales_value,valuated_goods_receipt_blocked_stock,is_quarantined
100,000000000000000433,4270,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000437,4273,2022,5,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000438,4273,2022,5,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000439,4270,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000445,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000447,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000450,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000451,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000459,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000462,4238,2022,8,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
