client,material_num,plant,storage_location,batch_num,special_stock_ind,vendor_account_num,lvorm,ersda,ernam,aenam,laeda,lfgja,lfmon,spers,slabs,sinsm,seinm,sspem,svmla,svmin,svmei,svmsp,kzisl,kzisq,kzise,kziss,kzvsl,kzvsq,kzvse,kzvss,mmeng,ameng,kodll,kojin,korue,is_quarantined
100,000000000001020157,5401,0001,5401017720,K,0001026611, ,2020-06-26 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020157,5401,0001,5401017820,K,0001026611, ,2020-06-29 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,2, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401020720,K,0001026611, ,2020-07-27 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,3, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401024520,K,0001026611, ,2020-09-02 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,4, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401024620,K,0001026611, ,2020-09-03 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,4, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401025320,K,0001026611, ,2020-09-10 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,4, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401026720,K,0001026611, ,2020-09-24 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020157,5401,0001,5401026820,K,0001026611, ,2020-09-25 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020157,5401,0001,5401032120,K,0001026611, ,2020-11-17 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401032420,K,0001026611, ,2020-11-20 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401035620,K,0001026611, ,2020-12-22 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,9, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401035820,K,0001026611, ,2020-12-24 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,8, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020157,5401,0001,5401101420,K,0001026611, ,2021-01-15 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,8, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401101520,K,0001026611, ,2021-01-18 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,9, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020157,5401,0001,5401102520,K,0001026611, ,2021-01-26 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401102620,K,0001026611, ,2021-01-27 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,9, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401105020,K,0001026611, ,2021-02-20 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,9, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401105420,K,0001026611, ,2021-02-24 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,10, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020157,5401,0001,5401106120,K,0001026611, ,2021-03-03 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,10, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401106220,K,0001026611, ,2021-03-04 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,10, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020157,5401,0001,5401106320,K,0001026611, ,2021-03-05 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,10, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
